Patient Zip Code,Partially Covered,Fully Covered
17903,0,1
15230,30,100
15069,3,13
19364,0,2
19080,24,40
15141,1,0
15118,1,0
19431,1,3
19632,0,2
15604,1,1
16064,2,1
15660,21,127
15654,0,1
19039,28,91
18248,58,327
15246,2,3
15791,0,1
15914,1,2
18921,26,104
18075,0,5
16325,2,0
16390,0,1
16408,0,1
16400,1,0
18044,19,87
16413,1,13
16425,1,3
16414,0,2
16377,0,1
16388,0,2
15831,13,104
16409,0,2
16418,0,1
16443,61,602
16464,0,2
16444,14,37
16513,0,1
16489,0,1
16518,0,1
16452,2,1
16528,0,1
16449,0,1
16520,0,3
16465,0,1
16517,1,0
16481,1,0
16618,0,1
16629,2,22
16149,0,1
19068,3,16
16605,0,1
16563,31,73
16551,3,3
16534,0,3
16543,0,3
16582,0,1
16550,0,7
16596,0,1
16633,11,57
16619,14,184
15631,49,419
17114,1,8
15722,95,968
17537,16,94
15625,20,75
18402,2,2
15847,7,74
16640,59,470
16645,3,74
16642,0,3
16653,0,2
16644,14,117
16638,3,32
16643,0,1
18968,14,102
16141,111,784
17256,6,63
15465,23,140
16661,25,341
16658,0,4
16670,15,89
16660,4,39
15433,33,370
16671,30,266
18625,49,256
16663,7,64
19469,4,12
16948,72,484
17305,2,2
15520,25,73
19368,2,1
15125,3,6
16674,28,194
16679,34,302
17017,52,816
16675,6,41
16677,29,275
16682,13,72
16681,11,107
19513,1,2
16877,70,1038
18983,0,1
18086,12,105
15222,1198,4680
18615,153,1095
16145,130,1275
18705,955,9731
15553,8,54
17366,251,2873
17013,4434,22236
17976,490,3568
16847,31,179
15642,3312,31352
19381,30,83
18020,1545,16466
18078,404,5631
16233,46,584
16690,0,1
16685,10,134
15860,41,547
16691,10,125
19318,13,39
16705,2,0
16702,0,3
16694,12,98
16715,0,1
16692,25,265
16706,1,0
16687,0,1
16724,16,61
16699,0,1
16704,0,1
16922,113,905
17584,571,7033
15715,50,305
19138,2508,6298
19037,28,448
15774,137,1345
15350,72,396
18444,1045,9807
19007,2298,13932
16859,21,255
18371,62,428
16656,33,420
16436,19,297
18351,40,232
17606,21,73
18936,77,390
17885,10,37
18501,29,193
18911,42,242
15445,181,1541
19010,3283,18255
19436,72,640
16229,296,2992
17967,140,1590
16424,261,2032
16002,587,8106
16114,20,284
16063,649,6000
17724,227,1704
17311,22,150
18347,231,1821
19542,2,2
15945,10,117
15017,1901,13278
17691,0,3
16672,7,62
17604,175,2463
15955,87,1020
19383,67,143
17014,11,70
17251,9,80
16736,1,1
18971,11,81
16774,0,1
16767,0,2
16741,0,1
16730,24,56
16734,31,129
16737,1,1
17360,359,3967
16773,0,1
16733,9,52
16747,0,1
16766,1,1
16739,0,2
19373,287,2073
16611,139,1214
15043,117,847
17815,1396,17047
19339,0,3
19406,4339,23484
18950,71,310
15314,240,1958
15551,27,278
15832,9,154
19055,1477,9442
18072,480,4211
15233,322,2019
16912,121,1056
17068,257,2180
16107,11,55
17053,317,3031
18512,910,10277
16828,248,3191
18477,3,8
18627,14,93
17066,193,2041
16056,234,2873
17522,1554,18839
15558,54,512
15132,1682,10136
18623,114,1061
18249,235,2743
15415,10,58
18074,349,3561
15101,2350,20392
16411,84,670
16433,313,2806
18913,68,343
16807,0,1
16647,33,472
16824,0,2
16793,0,1
16816,0,1
16821,19,162
16825,26,144
16808,0,1
15346,59,354
16814,0,1
16789,0,1
16805,7,27
16818,0,1
16786,0,2
16780,1,0
16806,2,2
16800,2,0
16817,1,0
19363,1706,10698
15636,247,2749
18344,404,2593
18435,135,577
17729,12,81
16866,432,4802
16509,2340,19985
15106,2007,13758
17320,414,4238
19102,685,1309
17602,4906,35243
18626,77,396
15952,73,785
18428,1207,7088
17074,337,3713
17260,29,443
18707,973,11963
18232,299,2146
17812,66,622
16822,95,1195
17750,10,51
19282,0,3
15148,231,1200
16403,392,3940
17081,17,104
18619,17,119
17078,1764,15339
19052,39,137
17027,36,139
17726,11,39
18063,51,356
17983,84,793
15072,20,58
15143,2483,18582
17870,917,8774
18107,2,12
16842,0,1
19360,31,106
16850,2,44
17929,88,896
16742,1,4
16837,14,76
16846,0,1
16834,22,168
18342,30,143
15759,125,1050
15634,29,278
17241,753,5448
18210,671,5013
19567,389,3021
15271,0,2
16434,76,614
19367,31,127
17518,48,392
16932,31,275
15422,23,116
19506,403,3897
19540,616,7097
17985,52,733
18242,17,148
16328,12,89
18340,20,70
16746,80,467
19426,4218,34157
17067,606,6602
16840,31,256
19136,2006,4717
15112,290,1743
19015,1438,11191
17469,0,1
17946,28,159
18039,14,96
17370,355,3351
19118,1406,4943
15547,57,305
16858,142,1832
18010,5,15
17607,9,43
17730,14,116
16849,31,226
16857,0,1
16863,34,349
16864,3,37
16886,1,0
16873,3,27
16888,0,1
16860,16,173
16876,25,141
16861,12,103
16871,1,16
16855,25,124
16880,0,2
16048,6,43
15145,670,4130
16510,1787,15541
17222,502,6482
17978,13,170
18070,44,481
18328,669,3296
17837,1307,11895
18438,102,745
16626,0,1
15923,95,861
17562,117,1307
16230,23,195
15066,721,6702
16915,410,2678
15935,116,1253
17575,6,52
16508,1177,9950
18618,290,2251
18301,2409,17216
17866,520,7020
18431,990,7861
17368,327,4279
17071,1,1
16046,1890,15056
19142,2410,6392
15684,49,306
19083,4177,32912
19530,702,7346
15370,801,7395
16426,236,2523
16906,1,0
15739,32,205
16927,8,133
16902,1,2
16889,0,1
18831,64,524
16924,0,1
16916,1,0
16907,0,1
16341,72,953
16908,1,0
16893,3,0
16905,0,2
16910,1,26
16931,1,1
16926,58,318
16891,0,1
16904,0,1
17827,52,445
17041,14,65
18083,60,393
19602,2158,10225
15812,1,2
15225,93,730
18616,57,369
19072,1504,9793
16504,1424,9689
17737,243,3542
16254,148,1808
16354,521,5031
19000,17,30
18958,14,73
18254,70,501
17771,118,1454
15664,11,61
16939,13,48
19001,1922,14566
15954,83,922
18603,1008,11055
19064,2370,21592
18064,1790,19992
18940,3907,26039
15039,1,3
19111,4539,10709
18346,296,1982
16802,940,1795
15210,2435,14908
17252,125,1533
17104,2063,10092
17954,296,2691
17097,52,340
19610,1458,12612
18470,156,1290
15459,70,634
19611,1047,6616
17764,152,1028
19395,29,85
17747,89,1093
16105,1297,9350
19387,2,3
16964,1,0
16943,21,211
16956,1,1
16940,11,108
16976,0,1
16951,0,1
16945,2,9
16973,0,1
16955,0,1
16970,0,1
16942,30,309
16966,0,1
16960,0,1
16941,4,11
16978,0,1
17304,193,1713
18036,930,10914
19139,3117,9448
18947,535,4430
15082,50,244
15635,21,166
17744,118,1358
18624,90,480
17857,364,4800
18087,95,645
19405,685,3731
17246,6,107
15482,36,248
15127,24,93
15920,44,457
16823,1734,20928
15846,134,1797
15615,25,134
15012,1038,9455
15559,86,706
15358,97,491
17886,64,535
19027,2591,16069
17935,91,824
16655,55,537
16501,219,1296
15488,21,120
19604,3091,15583
18708,591,6859
18508,1023,8008
15027,163,1414
16130,88,879
17740,568,6182
16441,543,5809
18040,1294,13082
16133,55,661
19402,3,17
16102,307,2518
15656,483,5803
15206,4348,23489
17268,1543,14501
17949,20,138
17960,170,2174
18350,232,1279
19026,3831,24610
15681,212,2376
15949,55,355
17008,2,5
17012,4,26
17000,4,7
18355,113,890
15428,113,858
15698,56,345
19350,1147,5476
15534,35,317
16045,58,574
16041,71,835
19122,1298,2834
18357,16,89
15714,277,2658
16879,21,183
19310,169,1579
15849,59,608
16946,174,1143
19403,5463,36299
18321,150,1196
17842,282,3823
15071,1113,8445
18969,1239,11213
15904,1160,9750
17364,146,1852
16319,107,629
17010,29,109
19316,27,143
19454,3711,24707
15675,74,512
19053,2767,19651
15724,71,863
16262,122,1451
15045,356,2472
16402,39,322
16601,1947,15894
17110,3036,19093
17044,809,11526
19528,0,5
17517,669,7773
17223,12,125
16001,1998,22857
16673,268,2432
18901,3091,23955
18832,78,645
17322,237,2991
18823,26,139
16693,142,1626
19409,9,31
17039,7,35
16844,109,1443
17109,2853,16761
15221,3454,20425
19562,174,1785
15067,123,1267
18845,18,129
17234,0,3
17244,62,942
17535,77,731
18956,23,95
18923,113,925
19048,10,18
17921,332,3750
19529,120,1627
19399,21,58
15248,3,0
16662,299,2649
17856,115,1928
16929,112,907
18214,112,1491
15729,66,568
16839,19,217
16923,52,349
15963,626,6105
15333,137,1039
16050,46,598
19468,3098,22489
17582,80,1076
15765,67,773
18510,1158,8260
18201,2641,16954
17214,74,517
16602,1765,14513
17061,328,3514
18331,68,413
15458,126,1156
18224,391,3571
19478,36,121
15077,7,61
15324,81,332
18002,11,69
16028,102,882
17888,26,199
18773,1,2
16613,81,724
19491,1,3
15416,18,116
15921,45,361
19196,5,6
16412,715,6237
19512,1034,9979
17543,2764,32342
15243,1451,12936
15845,165,1632
18964,1214,11049
19565,589,5644
16421,210,1675
17065,410,2176
15074,587,4972
18104,3708,37826
15489,28,180
18062,1777,20962
17002,7,161
18354,82,795
19081,1192,8835
17075,15,124
16843,44,340
18617,118,898
19079,890,6108
15201,1777,11163
18833,99,796
18955,156,1157
18990,1,2
15031,56,346
19450,45,216
15902,723,5618
18929,920,7207
17504,19,117
16683,20,228
15313,26,185
17076,3,33
17079,2,11
18614,148,1254
17083,8,74
19123,1814,3349
16157,197,1663
17572,109,1129
19354,14,91
18452,399,3794
15315,32,285
15926,151,1281
17823,25,571
15010,2173,15562
16023,210,2479
17941,23,358
18326,402,2936
16801,4251,27952
17324,268,2213
15436,140,1242
17064,131,750
16407,472,5137
15208,1206,6777
19347,19,65
15232,2851,10051
17963,341,4604
17103,1251,6178
16743,222,1738
15086,99,505
15697,158,1601
19398,0,2
17566,498,5055
19511,22,128
15942,94,1114
15139,717,5781
16502,1301,8124
19362,422,2758
16123,119,1131
17581,74,500
15285,0,2
17554,547,5627
18952,0,1
17037,46,407
15810,0,1
18906,4,6
19336,0,11
19536,29,289
19145,3312,7559
16024,29,176
15363,72,508
16415,708,7231
16103,23,44
17092,0,2
17089,0,3
17091,1,2
19531,1,2
17864,46,693
18987,1,3
15347,95,483
17981,177,1411
19380,6165,42860
15824,196,2755
17100,1,11
15028,18,97
18421,307,2856
15456,138,1156
19003,2092,12462
19127,970,2330
19338,2,3
15061,875,7936
18407,1136,9218
18932,55,437
19523,26,107
17033,2012,11882
17059,248,3830
18814,10,56
15207,1053,7315
15088,43,283
16371,217,1497
18046,26,93
18709,178,1858
17344,180,1937
18081,48,299
17754,690,7830
17972,696,6926
18052,2006,21320
18103,3841,34245
15301,3857,29384
16882,16,150
15670,228,1812
17026,143,1583
19314,1,7
19440,2119,15434
15353,5,44
17107,4,16
17120,2,15
17106,28,97
17133,1,1
17121,0,2
17129,0,1
17117,2,3
17128,0,1
17122,1,12
17134,0,1
17118,1,0
17135,0,1
17123,0,1
17108,14,51
17119,0,4
17124,0,1
17042,2650,23595
18461,19,151
15946,311,3594
17501,229,2945
18504,1647,15192
15110,407,2542
19606,2777,23445
17112,3334,26650
17009,68,1023
17007,610,3699
16928,62,526
18642,289,3265
16639,34,438
19137,277,744
17804,1,0
18015,3444,21409
18663,0,1
15754,48,285
16033,344,4185
17250,16,110
19401,7148,30837
15537,339,3272
18640,1387,12419
18951,2630,25312
17576,9,137
18073,735,7429
17408,1376,15232
15084,640,5623
16405,36,315
18405,202,1281
17540,504,5334
19555,176,2050
15015,120,1076
16720,76,554
16848,29,243
18967,3,24
17168,0,1
17142,1,0
17152,0,1
17200,0,1
17136,1,3
17137,0,1
17194,0,1
17174,0,1
17249,12,96
17170,1,3
17155,0,1
17184,1,1
17148,0,1
17173,1,0
17158,0,1
17157,1,1
17172,0,1
17147,0,1
17140,1,0
17182,1,0
17150,0,1
17160,0,1
17139,0,2
17171,1,0
17145,0,1
17178,1,1
15024,752,6754
16132,39,149
18612,1295,13370
15237,4417,37560
15510,61,2192
17508,95,726
15090,2750,21168
19046,2623,16469
18056,64,677
17016,64,700
19682,105,18
15059,247,1955
17702,541,5846
19605,1796,14401
17777,291,3895
19134,2622,5939
17877,2,4
17801,864,9169
15767,650,6510
16066,3403,25824
19144,2943,7725
18931,41,190
15639,129,1029
19390,1731,10687
18975,6,17
17350,680,7926
19369,41,220
15091,9,41
17832,54,419
18101,692,2852
19507,108,1164
19076,632,4672
15253,5,4
18035,19,204
15322,137,1026
19539,204,2846
17240,103,1247
15063,709,6578
15521,60,612
19358,28,150
17813,54,913
16947,286,2017
18458,267,1339
19443,19,66
17211,8,107
17212,10,167
17203,0,1
17217,5,61
17215,10,89
17204,0,2
17208,0,1
17220,13,201
17213,19,194
17219,11,127
17113,975,6571
18230,5,72
18801,538,3580
18225,16,79
19047,3786,26507
18505,1958,15261
19108,13,22
19151,2781,9870
16827,312,4648
19254,1,0
19028,34,99
16933,391,2884
17855,59,603
18828,15,136
15223,629,4923
19107,1552,2202
19342,2846,15828
17974,46,230
15231,10,30
17752,220,2397
17043,647,4032
15018,70,450
17015,2212,13391
17760,49,301
17979,19,76
15357,104,788
17920,19,144
18412,2,12
19320,4943,36836
15492,5,41
18211,54,816
19106,1661,3138
15209,1001,9013
17723,4,48
19301,1049,6839
16442,150,1544
15234,1374,11638
18824,90,626
17239,4,79
16623,21,234
17231,11,63
17227,1,0
16021,1,4
17232,2,51
16161,48,347
18088,448,5970
19344,872,7238
19255,0,3
15275,38,58
17094,74,1098
19074,541,4155
19050,3219,21093
15205,2586,17520
18636,110,685
16845,146,862
18944,2050,18772
19425,2247,14404
15840,105,1033
18067,1103,14007
16022,23,246
17048,192,1861
15701,2142,16853
19607,1675,15549
19043,303,2039
15030,66,583
19442,153,570
16920,80,777
17235,24,189
16042,0,1
16127,934,7908
15146,3059,21780
18655,308,3445
15425,1049,9076
16427,13,135
18507,476,4202
16650,80,707
16059,622,6692
19078,991,8673
19343,786,6462
19376,19,118
17001,637,2948
19465,1644,12754
18702,3313,25795
17405,32,152
15218,1516,10517
17851,407,4423
18034,679,6896
19317,1456,7608
18252,649,6465
17258,0,2
17253,15,83
17270,1,1
17273,1,0
17267,43,607
17271,16,179
17254,10,267
17266,39,276
17245,0,2
15049,71,680
15419,175,1334
17264,60,832
18229,598,5419
16870,401,5913
17036,2379,17820
17520,270,3652
16841,211,2763
17538,499,5288
17751,332,3877
18456,30,217
18837,165,1086
18353,856,7323
15432,44,279
16218,38,482
16503,1142,6786
15168,0,3
19453,151,1033
18085,71,567
16153,113,1192
19352,850,5596
18221,24,125
15757,55,612
19128,5379,13472
18928,45,177
17028,239,1830
15429,13,132
18430,5,36
18231,29,245
17756,735,7329
19457,34,142
19456,110,343
17829,9,44
16335,2013,15851
19141,1986,4934
15362,44,241
17822,8,31
19012,820,5320
18917,226,1630
15443,39,176
16627,85,901
17291,0,2
17312,5,43
17308,0,1
17281,0,1
17310,15,99
15126,601,5093
16142,302,2439
18251,7,60
18432,2,3
16374,98,811
17765,52,452
17528,9,38
19004,1862,10147
17058,133,904
17509,209,1452
15633,25,129
18962,54,389
18360,2346,18755
16146,900,6880
18240,285,2510
18048,1,6
15137,790,6286
15736,51,293
15202,2550,14841
16851,136,1095
15214,1270,8861
17315,1261,15259
15081,40,271
16665,27,175
19422,2735,18000
19008,2248,17332
17868,45,420
19153,991,3318
17565,109,1343
15129,917,8254
19121,1930,4315
15901,325,2050
19103,2621,5926
15364,28,309
16401,195,2046
15640,21,159
17557,621,6996
17980,148,1756
16603,12,75
18059,77,924
15331,124,567
18711,25,159
17333,0,4
17332,3,19
17334,5,12
17323,24,172
18509,1043,9360
19424,8,11
18920,58,392
18106,627,5879
16911,12,65
18838,0,1
15533,45,438
16372,38,216
15351,54,293
15076,127,668
18634,997,8994
16617,141,1374
17329,112,1265
17003,672,6570
17303,52,418
15666,975,8258
19063,4259,32647
17850,43,286
16222,72,800
18519,391,4029
16729,79,340
15401,2202,17243
15338,76,635
15421,63,359
17242,0,4
15006,45,234
16914,116,834
18621,270,2849
19060,1131,8140
16101,2158,15894
15261,12,35
15936,64,653
15934,23,143
18343,278,2081
16435,79,819
18372,325,1811
17552,1265,13515
15216,2720,18186
15241,2362,19465
16423,252,2293
15627,337,3321
17354,1,2
17351,3,1
17336,1,0
17348,1,1
17337,2,3
17343,7,84
17352,58,539
17338,0,1
17346,1,2
17341,1,1
18032,493,6334
19462,1880,13802
15341,31,248
18419,357,2851
16352,26,126
16475,37,1626
18853,219,1828
15632,779,6469
19428,2819,15454
19341,3110,17426
15655,65,367
17844,347,4662
15140,272,1590
16417,493,5106
15200,5,3
17964,38,400
15054,65,289
16701,1644,8643
18446,229,1987
19545,24,203
18447,803,7767
19124,3743,7658
15472,28,130
16263,13,137
18829,40,349
18076,156,1987
18462,33,229
19021,973,6370
15242,10,24
17233,151,1902
17556,0,3
17731,57,237
18960,1009,9804
16901,751,5885
16364,54,483
16052,113,1274
16225,11,44
19484,6,13
17551,628,6135
16037,327,3353
15721,7,83
17050,5564,35497
16134,188,1891
18473,38,236
18017,3494,31264
18349,50,186
17371,19,134
17359,0,1
17369,0,1
17358,0,6
17367,0,1
17357,0,3
16003,16,74
18014,637,8146
19518,1194,11628
16137,668,6629
17331,3546,30873
18632,27,155
18245,24,135
16038,148,1529
18042,3914,25652
15344,96,755
18706,1125,10313
18963,75,353
17948,300,2552
17301,176,2334
15102,2588,24217
15120,1784,12200
15144,288,2655
15003,876,6919
19041,1046,5911
15186,0,1
19348,3408,18519
18631,117,697
16301,991,8130
17049,83,1387
19503,85,833
18466,1180,9482
15022,704,6087
17402,2470,25362
16311,23,209
18322,259,1749
15539,37,183
15329,85,631
15442,142,1137
17527,207,2292
17330,0,1
18102,5350,29934
18974,4784,32508
19322,1,4
15282,8,26
16366,0,3
15522,565,5449
15042,528,5238
17045,157,1588
15021,445,3267
16009,1,0
17373,0,1
17415,0,2
17387,0,2
17382,0,1
17414,0,1
17400,1,0
17380,0,3
17413,0,1
17421,3,2
17399,0,1
17409,1,0
17375,0,1
17417,0,1
17390,0,1
18902,2303,17426
18842,14,159
15691,13,99
15034,120,1034
15229,1357,11302
15348,44,224
15056,90,744
17201,2033,17484
18610,342,3007
19120,4712,10058
15907,10,36
15135,313,3060
16727,45,171
18643,961,8677
17047,122,983
15312,178,1640
18517,399,4068
16238,14,215
19250,2,1
18324,846,5560
16239,173,3403
17105,55,204
15930,18,153
15424,115,1032
15624,51,249
18043,20,96
15085,459,5222
15325,33,280
16236,15,152
18325,201,1468
15009,1311,10542
15136,1913,14881
19392,1,7
15958,85,1141
16287,0,2
16025,185,2641
18337,1522,7328
17435,0,1
17431,0,1
17456,0,2
17468,0,1
17457,1,2
17507,13,179
17464,1,1
17511,0,1
17500,0,2
17450,0,1
17430,0,2
17510,1,0
17503,7,35
17453,0,1
17440,0,1
17487,1,1
17461,0,1
17454,1,2
17513,2,3
17460,0,3
17568,6,49
16936,91,763
16020,48,567
19333,1350,6767
19033,690,5825
16829,36,381
17070,1403,11124
15944,125,1474
19133,999,2837
18411,2098,18554
16826,95,575
18041,330,3503
15448,8,55
15220,2253,14605
17872,473,4941
15563,130,1308
19119,3125,8410
17342,34,175
15055,158,1055
15019,98,792
19013,3079,18260
17020,514,4652
15469,111,845
18966,3759,29207
17833,24,215
16803,2959,19081
17085,11,66
17055,4496,29006
17845,50,945
17934,22,212
17569,253,3112
16313,122,813
18065,17,182
17821,1388,14938
15226,1329,10386
17965,99,1239
17090,280,2642
16440,38,468
15501,1199,8919
16370,24,142
19125,2040,3801
17523,0,1
17530,1,1
17525,0,2
17515,0,4
17521,4,25
17514,0,2
17526,0,2
15762,39,416
19534,71,1119
15732,92,718
16040,26,433
17758,49,603
16630,232,2321
15464,67,561
16051,137,1425
18426,352,2514
15801,1179,11309
15057,1377,12182
16853,109,742
18058,626,5262
19032,749,4417
16678,95,1207
18850,148,902
19126,1530,3796
17519,199,2138
16201,749,9050
19522,788,8871
19057,1671,11247
19437,204,847
15937,42,359
16438,382,3553
15239,1745,15314
16636,36,399
17603,6364,47632
16726,54,221
19482,17,29
19101,41,134
15122,1397,12948
18980,61,271
18216,98,750
18202,1057,8256
18223,8,105
17319,703,6687
17077,13,59
19023,2486,13553
15431,230,2072
18970,92,515
15647,41,190
16140,23,56
17546,0,3
17541,1,1
17549,1,6
17542,3,3
17553,2,3
17544,5,10
17548,2,0
17539,0,1
15133,391,3704
17862,24,159
15672,258,1936
18051,207,2694
15332,471,5187
15658,541,4959
19093,4,22
19018,2618,16776
15219,1877,8113
16351,108,804
18954,980,7629
15330,366,3471
16420,35,244
19464,4665,32476
16249,67,965
19375,153,480
18826,107,813
16373,166,1416
19551,232,2788
19149,3110,6406
17102,1032,5309
18356,69,346
15673,119,748
19130,2933,6984
18914,2361,17849
19140,2612,6249
16622,15,114
15203,1721,7799
16121,328,2292
19455,9,11
17779,42,193
16657,66,656
16686,645,6887
17345,462,4614
16695,40,348
16314,215,2426
19496,2,3
18854,84,607
19146,4431,9505
15211,1300,7715
19374,243,976
15473,223,2208
18425,139,636
16731,172,1023
17057,1936,13847
15032,17,97
17567,28,198
17559,0,2
17570,12,47
17564,5,32
17561,1,1
17577,0,1
17571,0,2
18472,513,3687
17933,21,127
18370,105,734
17502,143,1346
19031,682,4730
15823,56,825
15062,485,4174
15906,628,5290
19085,1271,6329
15626,391,3550
16150,465,4094
19372,314,2011
15728,148,1563
18334,243,2292
16669,115,1107
17038,392,3666
15052,208,1755
16917,92,663
17022,1812,19888
15044,2621,23508
15680,22,108
16666,98,1406
17721,116,697
16624,7,94
16259,64,738
18420,15,126
17901,1532,14637
17701,2928,23316
18255,242,2610
18453,71,606
15451,32,275
18084,34,115
19131,3681,11189
19492,98,686
16242,179,2030
17236,352,3388
17316,349,4491
15477,101,545
18091,498,4155
16329,25,229
17961,458,4466
15352,26,267
16684,22,123
15480,85,975
17583,2,2
17594,1,0
17605,13,36
17585,1,8
17600,1,1
19477,48,284
19040,2181,17044
18069,553,6336
16835,24,143
15613,692,7970
17224,45,713
15454,22,90
16232,199,1882
16637,146,1018
19319,37,241
16228,15,204
18455,20,104
15212,2782,18565
17889,121,1769
15541,156,1501
17579,273,3246
18323,44,219
17356,1179,13618
16921,26,248
16541,95,231
15619,40,214
19092,2,20
15468,169,1138
17086,84,837
15678,48,346
15065,781,7047
15748,303,3449
17573,7,11
17620,1,0
17632,1,1
17624,0,1
17611,1,0
17609,0,1
17641,0,1
17622,1,2
17643,0,4
17631,1,1
17649,0,1
17612,0,1
17621,0,1
17630,0,4
17636,0,1
17616,0,1
17628,1,0
17635,0,2
18016,28,152
17261,46,235
17932,55,1777
16838,74,914
19366,16,43
16155,13,62
15617,23,210
18469,41,221
15682,2,19
15217,4587,24968
15411,25,226
16245,13,84
15692,70,529
15650,1760,15713
15723,5,24
18218,149,1301
17930,30,277
19432,9,37
19385,5,9
19148,3765,8074
19306,2,2
16148,1349,10769
18794,2,3
16505,1400,12204
17653,0,1
17697,0,1
17704,0,1
17703,26,57
17678,0,1
17707,1,1
17668,0,1
17684,1,0
17700,0,1
17654,2,0
17706,1,0
17666,0,1
17692,0,4
17683,0,1
17705,2,1
17650,0,3
17682,2,0
17669,1,0
15368,50,293
15745,32,184
17307,248,3097
16143,166,1113
16511,804,7442
17326,0,1
19535,16,83
18518,711,6499
15779,17,452
19312,1701,10980
17101,441,1797
16323,898,8013
18933,20,152
15960,23,194
17062,184,1989
18847,262,2463
17824,197,3078
16224,38,463
17202,1295,16210
19082,6248,30753
17712,0,3
17725,2,2
17722,0,1
17727,1,22
17711,2,3
17734,0,1
17710,1,6
17733,0,1
17709,0,1
17713,0,1
16938,48,367
18068,13,95
15050,129,1154
18410,22,102
18946,26,119
17084,158,2459
18925,666,5210
16728,2,8
15687,62,637
17931,427,5527
15943,160,1911
17814,212,2485
18915,184,1453
19016,26,66
18335,60,386
17024,93,841
17580,7,71
15712,4,42
15856,37,454
15629,57,344
17243,59,514
18013,1198,9918
15104,756,3900
17867,2,83
17040,140,1147
19143,5224,16194
15644,1181,10875
15861,5,87
17757,0,1
17742,2,47
17753,0,1
17738,0,1
17739,3,29
17746,28,4
17755,0,4
15622,94,672
15841,10,114
17052,71,611
