"Year","County FIPS Code","County Name","Gross Domestic Product ($1,000)","GDP Unit of Measure"
"2023","42001","Adams, PA","$4,739,846","Thousands of dollars"
"2023","42003","Allegheny, PA","$127,215,042","Thousands of dollars"
"2023","42005","Armstrong, PA","$2,498,848","Thousands of dollars"
"2023","42007","Beaver, PA","$8,270,921","Thousands of dollars"
"2023","42009","Bedford, PA","$1,923,959","Thousands of dollars"
"2023","42011","Berks, PA","$25,974,930","Thousands of dollars"
"2023","42013","Blair, PA","$7,681,160","Thousands of dollars"
"2023","42015","Bradford, PA","$5,838,010","Thousands of dollars"
"2023","42017","Bucks, PA","$46,622,731","Thousands of dollars"
"2023","42019","Butler, PA","$13,859,776","Thousands of dollars"
"2023","42021","Cambria, PA","$6,068,733","Thousands of dollars"
"2023","42023","Cameron, PA","$295,000","Thousands of dollars"
"2023","42025","Carbon, PA","$3,013,641","Thousands of dollars"
"2023","42027","Centre, PA","$10,952,214","Thousands of dollars"
"2023","42029","Chester, PA","$57,334,489","Thousands of dollars"
"2023","42031","Clarion, PA","$1,453,407","Thousands of dollars"
"2023","42033","Clearfield, PA","$3,948,874","Thousands of dollars"
"2023","42035","Clinton, PA","$1,838,629","Thousands of dollars"
"2023","42037","Columbia, PA","$3,085,661","Thousands of dollars"
"2023","42039","Crawford, PA","$3,711,261","Thousands of dollars"
"2023","42041","Cumberland, PA","$21,738,271","Thousands of dollars"
"2023","42043","Dauphin, PA","$27,883,123","Thousands of dollars"
"2023","42045","Delaware, PA","$42,181,987","Thousands of dollars"
"2023","42047","Elk, PA","$1,736,857","Thousands of dollars"
"2023","42049","Erie, PA","$14,204,975","Thousands of dollars"
"2023","42051","Fayette, PA","$5,324,705","Thousands of dollars"
"2023","42053","Forest, PA","$272,173","Thousands of dollars"
"2023","42055","Franklin, PA","$8,148,840","Thousands of dollars"
"2023","42057","Fulton, PA","$822,195","Thousands of dollars"
"2023","42059","Greene, PA","$4,726,709","Thousands of dollars"
"2023","42061","Huntingdon, PA","$1,561,671","Thousands of dollars"
"2023","42063","Indiana, PA","$4,275,084","Thousands of dollars"
"2023","42065","Jefferson, PA","$1,862,101","Thousands of dollars"
"2023","42067","Juniata, PA","$1,093,054","Thousands of dollars"
"2023","42069","Lackawanna, PA","$13,005,382","Thousands of dollars"
"2023","42071","Lancaster, PA","$38,970,487","Thousands of dollars"
"2023","42073","Lawrence, PA","$4,228,890","Thousands of dollars"
"2023","42075","Lebanon, PA","$7,912,272","Thousands of dollars"
"2023","42077","Lehigh, PA","$30,414,532","Thousands of dollars"
"2023","42079","Luzerne, PA","$19,632,568","Thousands of dollars"
"2023","42081","Lycoming, PA","$7,486,729","Thousands of dollars"
"2023","42083","McKean, PA","$2,306,816","Thousands of dollars"
"2023","42085","Mercer, PA","$5,342,098","Thousands of dollars"
"2023","42087","Mifflin, PA","$2,241,860","Thousands of dollars"
"2023","42089","Monroe, PA","$9,215,416","Thousands of dollars"
"2023","42091","Montgomery, PA","$106,631,582","Thousands of dollars"
"2023","42093","Montour, PA","$2,527,349","Thousands of dollars"
"2023","42095","Northampton, PA","$20,705,296","Thousands of dollars"
"2023","42097","Northumberland, PA","$4,285,671","Thousands of dollars"
"2023","42099","Perry, PA","$1,281,025","Thousands of dollars"
"2023","42101","Philadelphia, PA","$131,913,541","Thousands of dollars"
"2023","42103","Pike, PA","$1,938,205","Thousands of dollars"
"2023","42105","Potter, PA","$923,273","Thousands of dollars"
"2023","42107","Schuylkill, PA","$6,314,098","Thousands of dollars"
"2023","42109","Snyder, PA","$2,239,183","Thousands of dollars"
"2023","42111","Somerset, PA","$2,968,094","Thousands of dollars"
"2023","42113","Sullivan, PA","$408,729","Thousands of dollars"
"2023","42115","Susquehanna, PA","$3,414,576","Thousands of dollars"
"2023","42117","Tioga, PA","$2,126,244","Thousands of dollars"
"2023","42119","Union, PA","$2,423,745","Thousands of dollars"
"2023","42121","Venango, PA","$2,229,558","Thousands of dollars"
"2023","42123","Warren, PA","$1,740,958","Thousands of dollars"
"2023","42125","Washington, PA","$17,806,233","Thousands of dollars"
"2023","42127","Wayne, PA","$2,573,316","Thousands of dollars"
"2023","42129","Westmoreland, PA","$19,253,727","Thousands of dollars"
"2023","42131","Wyoming, PA","$1,873,338","Thousands of dollars"
"2023","42133","York, PA","$27,867,147","Thousands of dollars"
"2022","42001","Adams, PA","$4,508,275","Thousands of dollars"
"2022","42003","Allegheny, PA","$119,677,336","Thousands of dollars"
"2022","42005","Armstrong, PA","$2,512,975","Thousands of dollars"
"2022","42007","Beaver, PA","$7,980,854","Thousands of dollars"
"2022","42009","Bedford, PA","$1,835,741","Thousands of dollars"
"2022","42011","Berks, PA","$24,128,186","Thousands of dollars"
"2022","42013","Blair, PA","$7,247,654","Thousands of dollars"
"2022","42015","Bradford, PA","$5,791,173","Thousands of dollars"
"2022","42017","Bucks, PA","$43,687,707","Thousands of dollars"
"2022","42019","Butler, PA","$12,922,111","Thousands of dollars"
"2022","42021","Cambria, PA","$5,617,969","Thousands of dollars"
"2022","42023","Cameron, PA","$297,514","Thousands of dollars"
"2022","42025","Carbon, PA","$2,773,570","Thousands of dollars"
"2022","42027","Centre, PA","$10,278,620","Thousands of dollars"
"2022","42029","Chester, PA","$53,163,217","Thousands of dollars"
"2022","42031","Clarion, PA","$1,383,507","Thousands of dollars"
"2022","42033","Clearfield, PA","$3,649,777","Thousands of dollars"
"2022","42035","Clinton, PA","$1,683,927","Thousands of dollars"
"2022","42037","Columbia, PA","$2,877,562","Thousands of dollars"
"2022","42039","Crawford, PA","$3,506,170","Thousands of dollars"
"2022","42041","Cumberland, PA","$20,487,660","Thousands of dollars"
"2022","42043","Dauphin, PA","$26,242,602","Thousands of dollars"
"2022","42045","Delaware, PA","$39,974,688","Thousands of dollars"
"2022","42047","Elk, PA","$1,666,961","Thousands of dollars"
"2022","42049","Erie, PA","$13,248,530","Thousands of dollars"
"2022","42051","Fayette, PA","$4,971,461","Thousands of dollars"
"2022","42053","Forest, PA","$265,770","Thousands of dollars"
"2022","42055","Franklin, PA","$7,607,028","Thousands of dollars"
"2022","42057","Fulton, PA","$753,716","Thousands of dollars"
"2022","42059","Greene, PA","$5,010,882","Thousands of dollars"
"2022","42061","Huntingdon, PA","$1,498,483","Thousands of dollars"
"2022","42063","Indiana, PA","$4,294,612","Thousands of dollars"
"2022","42065","Jefferson, PA","$1,749,570","Thousands of dollars"
"2022","42067","Juniata, PA","$1,027,320","Thousands of dollars"
"2022","42069","Lackawanna, PA","$12,165,831","Thousands of dollars"
"2022","42071","Lancaster, PA","$36,854,449","Thousands of dollars"
"2022","42073","Lawrence, PA","$3,897,362","Thousands of dollars"
"2022","42075","Lebanon, PA","$7,462,278","Thousands of dollars"
"2022","42077","Lehigh, PA","$28,175,320","Thousands of dollars"
"2022","42079","Luzerne, PA","$18,155,919","Thousands of dollars"
"2022","42081","Lycoming, PA","$7,154,393","Thousands of dollars"
"2022","42083","McKean, PA","$2,322,451","Thousands of dollars"
