Area Name,Calendar Year,Labor Force,Employed,Unemployed,Unemployment Rate
Pennsylvania,1990,"5,814,000","5,495,000","319,000",5.5
Pennsylvania,1991,"5,842,000","5,439,000","404,000",6.9
Pennsylvania,1992,"5,896,000","5,456,000","440,000",7.5
Pennsylvania,1993,"5,897,000","5,490,000","407,000",6.9
Pennsylvania,1994,"5,892,000","5,519,000","374,000",6.3
Pennsylvania,1995,"5,900,000","5,553,000","347,000",5.9
Pennsylvania,1996,"5,985,000","5,655,000","330,000",5.5
Pennsylvania,1997,"6,061,000","5,750,000","312,000",5.1
Pennsylvania,1998,"6,064,000","5,780,000","284,000",4.7
Pennsylvania,1999,"6,093,000","5,821,000","273,000",4.5
Pennsylvania,2000,"6,106,000","5,848,000","258,000",4.2
Pennsylvania,2001,"6,179,000","5,883,000","296,000",4.8
Pennsylvania,2002,"6,215,000","5,869,000","345,000",5.6
Pennsylvania,2003,"6,158,000","5,808,000","350,000",5.7
Pennsylvania,2004,"6,213,000","5,879,000","334,000",5.4
Pennsylvania,2005,"6,257,000","5,944,000","313,000",5
Pennsylvania,2006,"6,298,000","6,003,000","295,000",4.7
Pennsylvania,2007,"6,347,000","6,058,000","289,000",4.6
Pennsylvania,2008,"6,440,000","6,097,000","343,000",5.3
Pennsylvania,2009,"6,400,000","5,890,000","510,000",8
Pennsylvania,2010,"6,363,000","5,844,000","519,000",8.2
Pennsylvania,2011,"6,387,000","5,895,000","492,000",7.7
Pennsylvania,2012,"6,464,000","5,974,000","489,000",7.6
Pennsylvania,2013,"6,446,000","5,990,000","456,000",7.1
Pennsylvania,2014,"6,429,000","6,046,000","383,000",6
Pennsylvania,2015,"6,476,000","6,125,000","351,000",5.4
Pennsylvania,2016,"6,522,000","6,174,000","347,000",5.3
Pennsylvania,2017,"6,494,000","6,172,000","323,000",5
Pennsylvania,2018,"6,513,000","6,226,000","287,000",4.4
Pennsylvania,2019,"6,574,000","6,291,000","282,000",4.3
Pennsylvania,2020,"6,501,000","5,927,000","574,000",8.8
Pennsylvania,2021,"6,425,000","6,048,000","377,000",5.9
Pennsylvania,2022,"6,471,000","6,203,000","268,000",4.1
Pennsylvania,2023,"6,561,000","6,321,000","240,000",3.7
Pennsylvania,2024,"6,577,000","6,337,000","239,000",3.6
Adams County,1990,"41,200","39,200","2,000",4.8
Adams County,1991,"41,500","39,400","2,100",5.1
Adams County,1992,"42,500","40,100","2,400",5.7
Adams County,1993,"41,800","39,700","2,100",5.1
Adams County,1994,"41,400","39,500","1,900",4.6
Adams County,1995,"43,200","41,300","1,900",4.3
Adams County,1996,"44,200","42,100","2,100",4.8
Adams County,1997,"43,400","41,300","2,100",4.7
Adams County,1998,"42,600","40,800","1,800",4.2
Adams County,1999,"42,900","41,300","1,600",3.7
Adams County,2000,"49,600","48,000","1,600",3.2
Adams County,2001,"51,200","49,200","2,000",3.9
Adams County,2002,"52,300","50,200","2,200",4.1
Adams County,2003,"51,500","49,300","2,200",4.2
Adams County,2004,"52,900","50,800","2,100",3.9
Adams County,2005,"54,800","52,800","2,000",3.7
Adams County,2006,"55,500","53,600","1,900",3.5
Adams County,2007,"56,200","54,300","2,000",3.5
Adams County,2008,"56,700","54,200","2,500",4.4
Adams County,2009,"55,300","51,200","4,100",7.4
Adams County,2010,"54,500","50,400","4,100",7.4
Adams County,2011,"54,000","50,500","3,500",6.5
Adams County,2012,"54,800","51,400","3,400",6.2
Adams County,2013,"55,400","52,300","3,100",5.6
Adams County,2014,"55,400","52,800","2,600",4.7
Adams County,2015,"55,400","53,000","2,400",4.3
Adams County,2016,"53,100","50,900","2,200",4.1
Adams County,2017,"53,000","50,900","2,100",3.9
Adams County,2018,"52,900","51,000","1,900",3.6
Adams County,2019,"53,100","51,300","1,800",3.4
Adams County,2020,"51,900","48,300","3,700",7.1
Adams County,2021,"51,800","49,500","2,300",4.4
Adams County,2022,"51,900","50,200","1,800",3.4
Adams County,2023,"52,400","50,900","1,600",3
Adams County,2024,"51,700","50,100","1,600",3.1
Allegheny County,1990,"641,000","612,800","28,200",4.4
Allegheny County,1991,"648,700","614,500","34,200",5.3
Allegheny County,1992,"659,100","619,000","40,100",6.1
Allegheny County,1993,"661,700","621,200","40,500",6.1
Allegheny County,1994,"656,800","618,900","37,900",5.8
Allegheny County,1995,"651,800","617,300","34,500",5.3
Allegheny County,1996,"656,000","625,300","30,700",4.7
Allegheny County,1997,"660,700","632,100","28,600",4.3
Allegheny County,1998,"658,100","631,000","27,200",4.1
Allegheny County,1999,"659,300","633,300","26,000",3.9
Allegheny County,2000,"638,300","612,000","26,200",4.1
Allegheny County,2001,"645,600","617,100","28,500",4.4
Allegheny County,2002,"645,100","611,000","34,200",5.3
Allegheny County,2003,"638,300","602,900","35,400",5.5
Allegheny County,2004,"635,900","602,600","33,300",5.2
Allegheny County,2005,"631,100","599,700","31,500",5
Allegheny County,2006,"631,300","602,400","28,900",4.6
Allegheny County,2007,"637,700","610,100","27,600",4.3
Allegheny County,2008,"646,600","615,100","31,500",4.9
Allegheny County,2009,"642,800","599,200","43,500",6.8
Allegheny County,2010,"634,500","588,200","46,300",7.3
Allegheny County,2011,"642,400","598,100","44,300",6.9
Allegheny County,2012,"653,500","609,600","43,900",6.7
Allegheny County,2013,"652,000","611,100","40,900",6.3
Allegheny County,2014,"649,800","614,500","35,400",5.4
Allegheny County,2015,"653,100","620,000","33,100",5.1
Allegheny County,2016,"666,100","632,400","33,700",5.1
Allegheny County,2017,"662,600","631,200","31,400",4.7
Allegheny County,2018,"663,400","636,200","27,200",4.1
Allegheny County,2019,"668,700","641,900","26,800",4
Allegheny County,2020,"656,900","599,900","57,000",8.7
Allegheny County,2021,"642,000","606,100","35,900",5.6
Allegheny County,2022,"638,600","613,300","25,300",4
Allegheny County,2023,"644,600","622,100","22,500",3.5
Allegheny County,2024,"647,800","625,300","22,500",3.5
Armstrong County,1990,"30,600","28,300","2,300",7.6
Armstrong County,1991,"30,600","27,500","3,000",10
Armstrong County,1992,"31,800","28,400","3,400",10.6
Armstrong County,1993,"31,900","28,700","3,200",10
Armstrong County,1994,"32,900","29,300","3,600",11.1
Armstrong County,1995,"32,300","29,300","3,100",9.5
Armstrong County,1996,"32,200","29,700","2,500",7.9
Armstrong County,1997,"32,100","29,700","2,400",7.6
Armstrong County,1998,"32,100","29,800","2,300",7
Armstrong County,1999,"31,900","29,800","2,100",6.4
Armstrong County,2000,"33,300","31,400","1,900",5.8
Armstrong County,2001,"33,900","31,700","2,200",6.5
Armstrong County,2002,"33,700","31,400","2,200",6.6
Armstrong County,2003,"33,400","31,100","2,300",6.8
Armstrong County,2004,"33,600","31,300","2,300",6.9
Armstrong County,2005,"33,100","31,000","2,000",6.1
Armstrong County,2006,"33,100","31,300","1,800",5.4
Armstrong County,2007,"33,100","31,300","1,700",5.2
Armstrong County,2008,"33,600","31,600","2,000",6
Armstrong County,2009,"33,300","30,200","3,000",9.1
Armstrong County,2010,"33,500","30,600","2,900",8.8
