"salary","gender","years"
355.857923500534,"m",17
140.361226068923,"m",5
62.0599860020025,"m",1
236.389427014513,"m",10
127.581632356995,"m",4
392.732951729234,"m",18
366.317189555807,"m",17
344.328180258887,"m",15
171.886068238133,"m",7
134.441012617213,"m",4
135.685537973867,"m",5
326.556478834022,"m",14
443.21925265204,"m",20
392.161610591196,"m",18
355.75727519792,"m",15
106.428993057173,"m",3
220.897606465996,"m",9
122.765507472915,"m",4
146.792888160553,"m",5
300.898328865791,"m",13
110.069099168471,"m",5
442.848829535307,"m",20
76.3276535725903,"m",2
201.852305648656,"m",8
105.818237273655,"m",3
63.9973682729268,"f",1
222.727079405255,"f",10
263.025426320441,"f",11
333.358481197521,"f",15
200.385060986976,"f",8
119.207285682906,"f",4
117.208781628669,"f",4
379.568810614321,"f",18
289.098136133893,"f",13
136.235181619995,"f",5
100.464766422277,"f",4
64.5717118542614,"f",2
395.809964976817,"f",18
97.6817873783459,"f",3
374.637675885402,"f",17
381.142237025903,"f",18
139.002191013521,"f",6
165.127070098049,"f",6
72.5792143753203,"f",2
430.884402291596,"f",20
88.7910346246091,"f",3
58.0567110483947,"f",2
156.119968980404,"f",6
227.828601542535,"f",10
188.172432936681,"f",8
