"County Name","Party","Count"
"ADAMS","ASP","1"
"ADAMS","C","3"
"ADAMS","CT","1"
"ADAMS","D","9,815"
"ADAMS","GR","27"
"ADAMS","I","248"
"ADAMS","INDE","16"
"ADAMS","LN","98"
"ADAMS","NE","1"
"ADAMS","NF","1,932"
"ADAMS","NO","5"
"ADAMS","NON","38"
"ADAMS","NOP","325"
"ADAMS","NOPA","1"
"ADAMS","NTS","2"
"ADAMS","OP","1"
"ADAMS","OTH","59"
"ADAMS","PR","1"
"ADAMS","R","8,823"
"ADAMS","RF","1"
"ADAMS","S","1"
"ADAMS","UND","1"
"ADAMS",,"3"
"ALLEGHENY","AC","2"
"ALLEGHENY","AD","2"
"ALLEGHENY","AI","4"
"ALLEGHENY","AM","3"
"ALLEGHENY","ASP","4"
"ALLEGHENY","B","1"
"ALLEGHENY","BM","2"
"ALLEGHENY","BP","1"
"ALLEGHENY","C","11"
"ALLEGHENY","CA","1"
"ALLEGHENY","CL","17"
"ALLEGHENY","CM","2"
"ALLEGHENY","CNT","2"
"ALLEGHENY","CO","5"
"ALLEGHENY","COD","1"
"ALLEGHENY","CT","14"
"ALLEGHENY","D","289,305"
"ALLEGHENY","DPP","1"
"ALLEGHENY","DS","8"
"ALLEGHENY","FE","1"
"ALLEGHENY","FR","2"
"ALLEGHENY","GOP","1"
"ALLEGHENY","GP","3"
"ALLEGHENY","GR","409"
"ALLEGHENY","H","3"
"ALLEGHENY","HUP","1"
"ALLEGHENY","I","4,011"
"ALLEGHENY","ID","24"
"ALLEGHENY","IDK","2"
"ALLEGHENY","IND","41"
"ALLEGHENY","INDd","3"
"ALLEGHENY","INDE","106"
"ALLEGHENY","INRE","1"
"ALLEGHENY","IR","5"
"ALLEGHENY","IT","3"
"ALLEGHENY","ITENT","1"
"ALLEGHENY","IV","1"
"ALLEGHENY","JD","1"
"ALLEGHENY","L","1"
"ALLEGHENY","LD","1"
"ALLEGHENY","LI","9"
"ALLEGHENY","LN","1,326"
"ALLEGHENY","M","5"
"ALLEGHENY","N","10"
"ALLEGHENY","NAI","1"
"ALLEGHENY","NC","1"
"ALLEGHENY","NE","4"
"ALLEGHENY","NF","29,433"
"ALLEGHENY","NO","5,514"
"ALLEGHENY","NOB","1"
"ALLEGHENY","NON","723"
"ALLEGHENY","NOO","1"
"ALLEGHENY","NOP","104"
"ALLEGHENY","NOPA","1"
"ALLEGHENY","NTS","4"
"ALLEGHENY","OP","1"
"ALLEGHENY","OTH","945"
"ALLEGHENY","PIR","2"
"ALLEGHENY","PIZ","1"
"ALLEGHENY","PL","1"
"ALLEGHENY","PP","8"
"ALLEGHENY","PR","5"
"ALLEGHENY","PT","1"
"ALLEGHENY","R","81,347"
"ALLEGHENY","RF","6"
"ALLEGHENY","S","10"
"ALLEGHENY","SD","1"
"ALLEGHENY","SOA","1"
"ALLEGHENY","SP","1"
"ALLEGHENY","SPU","1"
"ALLEGHENY","SW","4"
"ALLEGHENY","THPY","2"
"ALLEGHENY","TP","1"
"ALLEGHENY","UDC","1"
"ALLEGHENY","UNA","7"
"ALLEGHENY","UND","21"
"ALLEGHENY","UNDT","1"
"ALLEGHENY","UNK","3"
"ALLEGHENY","WFP","1"
"ALLEGHENY",,"68"
"ARMSTRONG","D","4,468"
"ARMSTRONG","GR","11"
"ARMSTRONG","I","96"
"ARMSTRONG","IND","1"
"ARMSTRONG","INDE","3"
"ARMSTRONG","LI","2"
